Valoren,Morningstar Credit Rating,Rating
30928853,BBB+,10
13437273,BBB+,10
14247866,BBB+,10
10695205,BBB+,10
10800934,BBB+,10
10736168,BBB+,10
10389084,BBB+,10
14247861,BBB+,10
14247831,BBB+,10
12390098,BBB+,10
11370757,BBB+,10
11089129,BBB+,10
1796435,BBB+,10
10756882,BBB+,10
10715680,BBB+,10
10683467,BBB+,10
10801615,BBB+,10
10816320,BBB+,10
10850929,BBB+,10
10997844,BBB+,10
11263898,BBB+,10
23902622,BBB+,10
23902623,BBB+,10
23918013,BBB+,10
23970360,BBB+,10
24076589,BBB+,10
24354819,BBB+,10
24354823,BBB+,10
24398317,BBB+,10
24398330,BBB+,10
24472466,BBB+,10
24472474,BBB+,10
24532937,BBB+,10
24571110,BBB+,10
24633131,BBB+,10
24633161,BBB+,10
24771783,BBB+,10
24784759,BBB+,10
25008708,BBB+,10
25008711,BBB+,10
25501760,BBB+,10
25501818,BBB+,10
25837128,BBB+,10
25933076,BBB+,10
25933109,BBB+,10
10410185,BBB+,10
10459311,BBB+,10
10543040,BBB+,10
10837412,BBB+,10
11117858,BBB+,10
11310939,BBB+,10
11363554,BBB+,10
11417988,BBB+,10
11645644,BBB+,10
11710921,BBB+,10
11741955,BBB+,10
11922102,BBB+,10
11958712,BBB+,10
11972511,BBB+,10
12008353,BBB+,10
12008376,BBB+,10
12071416,BBB+,10
12071831,BBB+,10
12103275,BBB+,10
12103288,BBB+,10
12403215,BBB+,10
12412473,BBB+,10
12471580,BBB+,10
12514823,BBB+,10
12696336,BBB+,10
12930179,BBB+,10
12970887,BBB+,10
12970323,BBB+,10
13053550,BBB+,10
13106712,BBB+,10
13169320,BBB+,10
13169444,BBB+,10
13197575,BBB+,10
13430498,BBB+,10
13504868,BBB+,10
11394338,BBB+,10
13504872,BBB+,10
13586727,BBB+,10
14444573,BBB+,10
14444637,BBB+,10
2883173,BBB+,10
30928855,BBB+,10
30928885,BBB+,10
30928890,BBB+,10
24614345,BBB+,10
30839191,BBB+,10
30857458,BBB+,10
30904625,BBB+,10
30904627,BBB+,10
29047576,BBB+,10
30928894,BBB+,10
30939989,BBB+,10
30939994,BBB+,10
30939999,BBB+,10
30940000,BBB+,10
30940008,BBB+,10
30940010,BBB+,10
30940024,BBB+,10
30948340,BBB+,10
30948350,BBB+,10
30992987,BBB+,10
30993074,BBB+,10
31057395,BBB+,10
31057398,BBB+,10
31118542,BBB+,10
31141667,BBB+,10
31141668,BBB+,10
31141690,BBB+,10
31141694,BBB+,10
31141698,BBB+,10
31141699,BBB+,10
31141700,BBB+,10
31141702,BBB+,10
31141708,BBB+,10
31254168,BBB+,10
31254211,BBB+,10
31254214,BBB+,10
31254216,BBB+,10
31292443,BBB+,10
31311885,BBB+,10
31311887,BBB+,10
31361609,BBB+,10
31361953,BBB+,10
31361954,BBB+,10
31361965,BBB+,10
31383344,BBB+,10
31383347,BBB+,10
31419810,BBB+,10
31452511,BBB+,10
31452514,BBB+,10
10194440,BBB+,10
10248201,BBB+,10
11093202,BBB+,10
11394771,BBB+,10
11417992,BBB+,10
11444436,BBB+,10
11444724,BBB+,10
11603562,BBB+,10
11629699,BBB+,10
11656122,BBB+,10
11680911,BBB+,10
11710918,BBB+,10
11756773,BBB+,10
11958714,BBB+,10
11959205,BBB+,10
11972513,BBB+,10
11972514,BBB+,10
12008379,BBB+,10
12039097,BBB+,10
12039160,BBB+,10
12071420,BBB+,10
12071423,BBB+,10
12117073,BBB+,10
12143755,BBB+,10
12143769,BBB+,10
12144182,BBB+,10
12173689,BBB+,10
12173692,BBB+,10
12173693,BBB+,10
12214065,BBB+,10
12232697,BBB+,10
12403445,BBB+,10
12403852,BBB+,10
12471578,BBB+,10
12514753,BBB+,10
12574230,BBB+,10
12696335,BBB+,10
12783554,BBB+,10
12861989,BBB+,10
12929103,BBB+,10
13015134,BBB+,10
13015135,BBB+,10
13053445,BBB+,10
13090908,BBB+,10
13138190,BBB+,10
13138196,BBB+,10
13430479,BBB+,10
13456903,BBB+,10
13457624,BBB+,10
13504870,BBB+,10
13586399,BBB+,10
13649439,BBB+,10
13648197,BBB+,10
13703270,BBB+,10
13703518,BBB+,10
13736024,BBB+,10
14192253,BBB+,10
14192343,BBB+,10
14209636,BBB+,10
14339354,BBB+,10
14339510,BBB+,10
14433883,BBB+,10
14484924,BBB+,10
14514356,BBB+,10
14514358,BBB+,10
14547560,BBB+,10
14547567,BBB+,10
14636257,BBB+,10
14816505,BBB+,10
14849047,BBB+,10
18007144,BBB+,10
18007164,BBB+,10
